Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS\
216,Amir Johnson\\johnsam01,C,31,PHI,14,0,151,27,42,.643,2,4,.500,25,38,.658,.667,14,18,.778,11,36,47,18,3,5,17,33,70\
217,Stanley Johnson\\johnsst04,SF,22,DET,11,7,277,34,91,.374,15,51,.294,19,40,.475,.456,6,8,.750,8,42,50,17,10,2,18,23,89\
218,Tyler Johnson\\johnsty01,PG,26,MIA,12,0,312,45,104,.433,15,51,.294,30,53,.566,.505,15,25,.600,4,28,32,28,14,6,20,22,120\
219,Wesley Johnson\\johnswe01,SF,31,NOP,6,4,117,13,25,.520,7,14,.500,6,11,.545,.660,5,6,.833,2,11,13,4,5,3,6,13,38\
220,Nikola Jokic\\jokicni01,C,23,DEN,13,13,381,79,148,.534,16,39,.410,63,109,.578,.588,57,68,.838,31,103,134,90,16,13,43,43,231\
221,Damian Jones\\jonesda03,C,23,GSW,13,13,216,35,45,.778,0,0,,35,45,.778,.778,14,23,.609,17,21,38,14,8,12,7,36,84\
222,Derrick Jones\\jonesde02,SF,21,MIA,9,3,141,19,47,.404,4,10,.400,15,37,.405,.447,10,15,.667,11,15,26,5,3,4,8,16,52\
223,Tyus Jones\\jonesty01,PG,22,MIN,12,2,247,25,82,.305,10,33,.303,15,49,.306,.366,5,6,.833,3,16,19,39,13,1,7,12,65\
224,DeAndre Jordan\\jordade01,C,30,DAL,12,12,395,50,80,.625,0,0,,50,80,.625,.625,39,46,.848,34,128,162,29,7,17,29,35,139\
225,Cory Joseph\\josepco01,PG,27,IND,14,0,356,39,77,.506,12,27,.444,27,50,.540,.584,3,7,.429,3,41,44,44,15,3,12,24,93\
226,Frank Kaminsky\\kaminfr01,PF,25,CHO,4,0,22,2,7,.286,0,3,.000,2,4,.500,.286,0,0,,0,4,4,2,0,0,3,2,4\
227,Enes Kanter\\kanteen01,C,26,NYK,14,5,373,87,165,.527,1,6,.167,86,159,.541,.530,41,48,.854,64,106,170,30,6,6,33,39,216\
228,Luke Kennard\\kennalu01,SG,22,DET,3,1,43,8,12,.667,1,2,.500,7,10,.700,.708,0,0,,0,5,5,3,1,1,1,2,17\
229,Michael Kidd-Gilchrist\\kiddgmi01,PF,25,CHO,13,0,265,43,89,.483,2,8,.250,41,81,.506,.494,24,33,.727,29,48,77,18,3,17,8,38,112\
230,Maxi Kleber\\klebima01,PF,27,DAL,12,0,225,29,64,.453,13,40,.325,16,24,.667,.555,9,13,.692,15,32,47,7,3,17,7,18,80\
231,Kevin Knox\\knoxke01,PF,19,NYK,7,0,120,20,61,.328,8,22,.364,12,39,.308,.393,11,17,.647,7,4,11,2,3,2,6,10,59\
232,Furkan Korkmaz\\korkmfu01,SG,21,PHI,7,0,53,7,15,.467,3,11,.273,4,4,1.000,.567,1,2,.500,1,8,9,2,3,0,2,4,18\
233,Luke Kornet\\kornelu01,PF,23,NYK,4,0,13,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,2,0,0,1,0,0\
234,Kyle Korver\\korveky01,PF,37,CLE,11,0,168,21,46,.457,12,31,.387,9,15,.600,.587,7,8,.875,0,17,17,15,2,0,13,18,61\
235,Kosta Koufos\\koufoko01,C,29,SAC,7,0,98,14,27,.519,0,0,,14,27,.519,.519,0,0,,8,30,38,7,7,3,3,15,28\
236,Rodions Kurucs\\kurucro01,SF,20,BRK,5,0,54,13,25,.520,5,12,.417,8,13,.615,.620,4,4,1.000,6,10,16,1,0,0,5,3,35\
237,Kyle Kuzma\\kuzmaky01,SF,23,LAL,13,11,413,97,201,.483,21,72,.292,76,129,.589,.535,25,33,.758,11,53,64,21,7,7,15,33,240\
238,Skal Labissiere\\labissk01,PF,22,SAC,5,0,28,4,9,.444,1,5,.200,3,4,.750,.500,4,4,1.000,1,6,7,2,1,0,3,6,13\
239,Jeremy Lamb\\lambje01,SG,26,CHO,13,13,316,59,134,.440,19,47,.404,40,87,.460,.511,22,24,.917,9,49,58,21,16,6,10,27,159\
